img_name,im_id,ethnicity,id_class,face_id,Age,children_agegroup
m.0fw3k1_0002,m.0fw3k1,African,0fw3k1,2,20,
m.04zvg12_0002,m.04zvg12,African,04zvg12,2,24,
m.05mrf5k_0002,m.05mrf5k,African,05mrf5k,2,28,
m.07b34k_0003,m.07b34k,African,07b34k,3,44,
m.02xgm5_0002,m.02xgm5,African,02xgm5,2,34,
m.0g9vdvc_0002,m.0g9vdvc,African,0g9vdvc,2,24,
m.0dvhs__0002,m.0dvhs_,African,0dvhs_,2,21,
m.0dvhrz_0002,m.0dvhrz,African,0dvhrz,2,24,
m.0gg6jmx_0001,m.0gg6jmx,African,0gg6jmx,1,30,
m.0cx327_0002,m.0cx327,African,0cx327,2,31,
m.01q5g42_0004,m.01q5g42,African,01q5g42,4,30,
m.07k9cy8_0003,m.07k9cy8,African,07k9cy8,3,29,
m.04gjhpv_0002,m.04gjhpv,African,04gjhpv,2,22,
m.03nqkk4_0002,m.03nqkk4,African,03nqkk4,2,19,
m.044c0x_0002,m.044c0x,African,044c0x,2,40,
m.09r1j5_0003,m.09r1j5,African,09r1j5,3,27,
m.03cnnfq_0002,m.03cnnfq,African,03cnnfq,2,40,
m.0clkzb_0002,m.0clkzb,African,0clkzb,2,33,
m.015m2v_0001,m.015m2v,African,015m2v,1,57,
m.09jvjz_0002,m.09jvjz,African,09jvjz,2,28,
m.0glr8_p_0003,m.0glr8_p,African,0glr8_p,3,28,
m.0bpj59_0003,m.0bpj59,African,0bpj59,3,35,
m.0bv7_5_0003,m.0bv7_5,African,0bv7_5,3,21,
m.0kvj115_0002,m.0kvj115,African,0kvj115,2,21,
m.02z2nf_0004,m.02z2nf,African,02z2nf,4,40,
m.0g1w23_0001,m.0g1w23,African,0g1w23,1,29,
m.0k3r3jj_0002,m.0k3r3jj,African,0k3r3jj,2,27,
m.07sq1s_0002,m.07sq1s,African,07sq1s,2,29,
m.0283_sz_0001,m.0283_sz,African,0283_sz,1,28,
m.06sj7v_0004,m.06sj7v,African,06sj7v,4,26,
m.09px7w_0001,m.09px7w,African,09px7w,1,27,
m.027l89n_0001,m.027l89n,African,027l89n,1,39,
m.07qnz0_0005,m.07qnz0,African,07qnz0,5,25,
m.04zvkf_0001,m.04zvkf,African,04zvkf,1,28,
