img_name,Age,ethnicity,id_class,children_agegroup,im_id,face_id
African_634_22,15,African,634,13-15,African_634,
Caucasian_346_12,14,Caucasian,346,13-15,Caucasian_346,
African_699_1,13,African,699,13-15,African_699,
African_412_47,13,African,412,13-15,African_412,
Asian_489_46,13,Asian,489,13-15,Asian_489,
Asian_409_7,14,Asian,409,13-15,Asian_409,
Indian_415_0,15,Indian,415,13-15,Indian_415,
Indian_696_2,13,Indian,696,13-15,Indian_696,
Caucasian_390_29,15,Caucasian,390,13-15,Caucasian_390,
Indian_63_1,14,Indian,63,13-15,Indian_63,
African_411_0,13,African,411,13-15,African_411,
Caucasian_1118_17,13,Caucasian,1118,13-15,Caucasian_1118,
Asian_589_5,15,Asian,589,13-15,Asian_589,
Asian_207_1,14,Asian,207,13-15,Asian_207,
Indian_59_2,15,Indian,59,13-15,Indian_59,
Asian_262_10,13,Asian,262,13-15,Asian_262,
Indian_387_0,15,Indian,387,13-15,Indian_387,
Indian_113_1,13,Indian,113,13-15,Indian_113,
Asian_234_34,13,Asian,234,13-15,Asian_234,
Asian_167_14,13,Asian,167,13-15,Asian_167,
African_36_5,13,African,36,13-15,African_36,
Indian_177_0,13,Indian,177,13-15,Indian_177,
African_469_2,14,African,469,13-15,African_469,
African_565_0,14,African,565,13-15,African_565,
African_400_23,14,African,400,13-15,African_400,
African_145_25,14,African,145,13-15,African_145,
Asian_130_9,13,Asian,130,13-15,Asian_130,
Indian_577_30,13,Indian,577,13-15,Indian_577,
African_182_4,15,African,182,13-15,African_182,
Caucasian_1322_7,13,Caucasian,1322,13-15,Caucasian_1322,
Indian_538_1,14,Indian,538,13-15,Indian_538,
Indian_630_4,15,Indian,630,13-15,Indian_630,
Asian_24_44,14,Asian,24,13-15,Asian_24,
Indian_602_106,14,Indian,602,13-15,Indian_602,
African_287_0,13,African,287,13-15,African_287,
Indian_536_0,14,Indian,536,13-15,Indian_536,
Caucasian_1364_23,13,Caucasian,1364,13-15,Caucasian_1364,
Indian_36_2,13,Indian,36,13-15,Indian_36,
Indian_620_9,14,Indian,620,13-15,Indian_620,
Caucasian_407_39,14,Caucasian,407,13-15,Caucasian_407,
Asian_516_9,13,Asian,516,13-15,Asian_516,
Indian_308_1,13,Indian,308,13-15,Indian_308,
African_493_1,15,African,493,13-15,African_493,
African_34_26,13,African,34,13-15,African_34,
Asian_148_41,14,Asian,148,13-15,Asian_148,
Indian_363_19,13,Indian,363,13-15,Indian_363,
African_220_4,14,African,220,13-15,African_220,
African_131_1,14,African,131,13-15,African_131,
Asian_516_23,14,Asian,516,13-15,Asian_516,
Caucasian_1035_8,14,Caucasian,1035,13-15,Caucasian_1035,
Asian_302_32,13,Asian,302,13-15,Asian_302,
African_277_1,13,African,277,13-15,African_277,
