,Probe Image,Reference Image,Similarity Score,Probe Image Identity,Reference Image Identity,Filename,UnifiedQualityScore,BackgroundUniformity,IlluminationUniformity,LuminanceMean,LuminanceVariance,UnderExposurePrevention,OverExposurePrevention,DynamicRange,Sharpness,CompressionArtifacts,NaturalColour,SingleFacePresent,EyesOpen,MouthClosed,EyesVisible,MouthOcclusionPrevention,FaceOcclusionPrevention,InterEyeDistance,HeadSize,LeftwardCropOfTheFaceImage,RightwardCropOfTheFaceImage,DownwardCropOfTheFaceImage,UpwardCropOfTheFaceImage,HeadPoseYaw,HeadPosePitch,HeadPoseRoll,ExpressionNeutrality,NoHeadCoverings,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,CompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfTheFaceImage.scalar,RightwardCropOfTheFaceImage.scalar,DownwardCropOfTheFaceImage.scalar,UpwardCropOfTheFaceImage.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,Unnamed: 57,image_name,identity_name
6,m.09jvjz_0004,m.09jvjz_0002,0.96409714,m.09jvjz,m.09jvjz,../../../data/tests/images/adults_full_final/m.09jvjz_0004.jpg,27.114086,58.45728,0.363636,0.055159,0.002155,0.83851,0.0,5.188601,-32,0.954684,0.0,0.0,0.082167,0.006041,0.0,0.0,0.000388,79.276413,0.413843,3.012417,3.050389,1.105493,1.310885,4.730846,-0.12959,0.012436,-334.008575,0.0,83,72,74,5,35,80.0,100.0,65,22,100,100,100,100,96,100,100,100,61,65,100,100,5,1,99,100,100,72,100,,m.09jvjz_0004,m.09jvjz
10,m.02hd3q_0003,m.02hd3q_0002,0.9635277,m.02hd3q,m.02hd3q,../../../data/tests/images/adults_full_final/m.02hd3q_0003.jpg,22.624968,63.307571,0.281633,0.363908,0.026284,0.044561,0.0,7.331187,-9,0.868007,0.0,0.0,0.105863,0.088089,0.0,0.0,0.002897,84.700351,0.370034,2.869048,2.892857,1.236374,1.466082,-7.37314,-1.865924,1.683275,5774.731934,0.0,46,70,68,96,94,100.0,100.0,92,64,100,100,100,100,87,100,100,100,68,34,100,100,16,3,98,100,100,90,100,,m.02hd3q_0003,m.02hd3q
18,m.0d25cl_0001,m.0d25cl_0005,0.9544686,m.0d25cl,m.0d25cl,../../../data/tests/images/adults_full_final/m.0d25cl_0001.jpg,20.981993,8.259058,0.134766,0.518165,0.058659,0.029585,0.022166,7.786714,-39,0.8313,100.0,0.0,0.056176,0.126126,0.0,0.0,0.03952,85.444042,0.41625,2.833133,2.928364,1.099099,1.303303,-10.526906,-3.115094,1.970587,-13305.970703,0.0,32,96,55,99,64,100.0,31.0,97,11,100,0,100,97,77,100,100,96,68,67,100,100,5,1,97,100,100,16,100,,m.0d25cl_0001,m.0d25cl
16,m.0d25cl_0005,m.0d25cl_0001,0.9544686,m.0d25cl,m.0d25cl,../../../data/tests/images/adults_full_final/m.0d25cl_0005.jpg,19.647882,89.790823,0.073881,0.509575,0.057332,0.036341,0.012114,7.776111,-37,0.739731,5.305073,0.0,0.071219,0.130924,0.0,0.0,0.010084,86.367459,0.420091,2.810987,2.893317,1.089049,1.291386,-10.120828,-2.686911,2.797623,-12692.825195,0.0,22,59,46,99,65,100.0,45.0,97,14,100,74,100,99,76,100,100,99,69,71,100,100,4,1,97,100,100,18,100,,m.0d25cl_0005,m.0d25cl
20,m.04d52g_0001,m.04d52g_0002,0.95234555,m.04d52g,m.04d52g,../../../data/tests/images/adults_full_final/m.04d52g_0001.jpg,17.80131,19.639032,0.480257,0.182688,0.010717,0.170194,0.0,6.420225,-2,0.841082,0.0,0.0,0.098577,0.007063,0.0,0.0,0.124642,80.427311,0.353971,2.987267,3.012265,1.29248,1.532612,5.865407,-3.730123,-1.609606,-1834.879517,0.0,12,90,80,41,94,100.0,100.0,80,74,100,100,100,100,96,100,100,88,63,26,100,100,25,6,99,100,100,65,100,,m.04d52g_0001,m.04d52g
28,m.09glphg_0002,m.09glphg_0004,0.94673204,m.09glphg,m.09glphg,../../../data/tests/images/adults_full_final/m.09glphg_0002.jpg,26.818136,11.119834,0.475666,0.18465,0.025196,0.445208,0.0,6.774168,-19,0.828096,0.0,0.0,0.069123,0.0,0.0,0.0,0.0,86.929779,0.381971,2.891566,2.927711,1.191191,1.426811,-17.293671,4.52241,-2.243417,-2118.283936,0.0,81,94,80,42,95,100.0,100.0,85,45,100,100,100,99,97,100,100,100,70,41,100,100,11,2,91,99,100,64,100,,m.09glphg_0002,m.09glphg
34,m.0hh2_0v_0004,m.0hh2_0v_0005,0.94221854,m.0hh2_0v,m.0hh2_0v,../../../data/tests/images/adults_full_final/m.0hh2_0v_0004.jpg,24.64432,106.395774,0.004898,0.364205,0.046199,0.167356,0.0,7.334295,-38,0.920096,0.0,0.0,0.098634,0.007246,0.0,0.0,0.0041,80.051176,0.345036,2.9875,3.0125,1.325948,1.572299,-2.048845,-13.794314,0.553632,4723.099609,0.0,65,52,20,96,74,100.0,100.0,92,13,100,100,100,100,96,100,100,100,62,22,100,100,32,9,100,94,100,87,100,,m.0hh2_0v_0004,m.0hh2_0v
32,m.0hh2_0v_0005,m.0hh2_0v_0004,0.94221854,m.0hh2_0v,m.0hh2_0v,../../../data/tests/images/adults_full_final/m.0hh2_0v_0005.jpg,23.220644,65.440822,0.052245,0.445742,0.052677,0.055218,0.0,7.647982,-30,0.869093,0.0,0.0,0.092958,0.007168,0.0,0.0,0.009836,80.1289,0.348759,2.987267,3.012265,1.311794,1.555516,-3.170533,-13.712652,0.503445,6101.525391,0.0,52,69,41,99,69,100.0,100.0,96,25,100,100,100,100,96,100,100,99,62,23,100,100,29,8,100,94,100,90,100,,m.0hh2_0v_0005,m.0hh2_0v
36,m.0g56222_0003,m.0g56222_0001,0.9390464,m.0g56222,m.0g56222,../../../data/tests/images/adults_full_final/m.0g56222_0003.jpg,28.167856,3.787443,0.749135,0.257376,0.00909,0.071837,0.0,6.573177,-40,0.859825,0.0,0.0,0.079987,0.006689,0.0,0.0,0.006991,80.03473,0.373758,2.987267,3.012265,1.224053,1.451473,-1.528572,-3.02055,0.934384,11207.824219,0.0,88,98,92,76,90,100.0,100.0,82,10,100,100,100,100,96,100,100,99,62,36,100,100,15,3,100,100,100,96,100,,m.0g56222_0003,m.0g56222
38,m.0g56222_0001,m.0g56222_0003,0.9390464,m.0g56222,m.0g56222,../../../data/tests/images/adults_full_final/m.0g56222_0001.jpg,28.929386,3.195557,0.560816,0.168399,0.006136,0.213103,0.0,6.296988,-25,0.854822,4.537901,0.0,0.085302,0.006622,0.0,0.0,0.006386,84.152725,0.377533,2.869048,2.892857,1.218436,1.430338,3.452424,0.017686,0.287726,11770.285156,0.0,91,98,84,35,75,100.0,100.0,79,34,100,78,100,100,96,100,100,99,67,38,100,100,14,2,100,100,100,97,100,,m.0g56222_0001,m.0g56222
