image_name,identity_name,ethnicity,Age,children_agegroup
m.010lz5_0001,m.010lz5,African,38,
m.010lz5_0002,m.010lz5,African,29,
m.010lz5_0003,m.010lz5,African,37,
m.011y5k_0001,m.011y5k,African,40,
m.011y5k_0002,m.011y5k,African,43,
m.011y5k_0003,m.011y5k,African,40,
m.011y5k_0004,m.011y5k,African,45,
m.01257s_0001,m.01257s,African,30,
m.01257s_0002,m.01257s,African,36,
m.01257s_0003,m.01257s,African,30,
m.0126y2_0001,m.0126y2,African,31,
m.0126y2_0002,m.0126y2,African,38,
m.0126y2_0003,m.0126y2,African,35,
m.0126y2_0004,m.0126y2,African,32,
m.012f1d_0001,m.012f1d,African,52,
m.012f1d_0002,m.012f1d,African,49,
m.012f1d_0003,m.012f1d,African,34,
m.012gl8_0001,m.012gl8,African,67,
m.012gl8_0002,m.012gl8,African,39,
m.012gl8_0003,m.012gl8,African,66,
m.012gr9_0001,m.012gr9,African,24,
m.012gr9_0002,m.012gr9,African,37,
m.012mh__0002,m.012mh_,African,23,
m.012mh__0003,m.012mh_,African,20,
m.012mh__0004,m.012mh_,African,24,
m.012mh__0006,m.012mh_,African,31,
m.012mk7_0001,m.012mk7,African,33,
m.012mk7_0002,m.012mk7,African,35,
m.012mk7_0003,m.012mk7,African,30,
m.012mmb_0001,m.012mmb,African,31,
m.012mmb_0002,m.012mmb,African,30,
m.012mmb_0003,m.012mmb,African,30,
m.012qsp_0001,m.012qsp,African,25,
m.012qsp_0002,m.012qsp,African,35,
m.012qsp_0003,m.012qsp,African,31,
m.012qsp_0004,m.012qsp,African,30,
m.012tmz_0001,m.012tmz,African,56,
m.012tmz_0002,m.012tmz,African,52,
m.012tmz_0003,m.012tmz,African,22,
m.012tmz_0004,m.012tmz,African,60,
m.012vd6_0001,m.012vd6,African,36,
m.012vd6_0002,m.012vd6,African,46,
m.012vd6_0003,m.012vd6,African,55,
m.012vk4_0001,m.012vk4,African,19,
m.012vk4_0002,m.012vk4,African,48,
m.012vk4_0003,m.012vk4,African,44,
m.0139ps_0001,m.0139ps,African,33,
m.0139ps_0002,m.0139ps,African,46,
m.0139ps_0003,m.0139ps,African,41,
m.0139ps_0004,m.0139ps,African,43,
m.013w7j_0001,m.013w7j,African,28,
m.013w7j_0002,m.013w7j,African,25,
m.013w7j_0003,m.013w7j,African,38,
m.015m2v_0001,m.015m2v,African,57,
m.015m2v_0002,m.015m2v,African,51,
m.015pz3_0001,m.015pz3,African,65,
m.015pz3_0002,m.015pz3,African,48,
m.015pz3_0004,m.015pz3,African,58,
m.015pz3_0005,m.015pz3,African,48,
m.015pz3_0006,m.015pz3,African,53,
m.015q3m_0001,m.015q3m,African,37,
m.015q3m_0002,m.015q3m,African,46,
m.015q3m_0003,m.015q3m,African,33,
m.0161fm_0001,m.0161fm,African,29,
m.0161fm_0002,m.0161fm,African,36,
m.0161fm_0003,m.0161fm,African,34,
m.016j55_0001,m.016j55,African,31,
m.016j55_0002,m.016j55,African,34,
m.016j55_0003,m.016j55,African,34,
m.017729_0002,m.017729,African,53,
m.017729_0003,m.017729,African,47,
m.018144_0001,m.018144,African,38,
m.018144_0002,m.018144,African,42,
m.018144_0003,m.018144,African,23,
m.0183qt_0001,m.0183qt,African,32,
m.0183qt_0002,m.0183qt,African,42,
m.0183qt_0003,m.0183qt,African,41,
m.0183qt_0004,m.0183qt,African,38,
m.0183qt_0005,m.0183qt,African,38,
m.0185gs_0001,m.0185gs,African,38,
m.0185gs_0002,m.0185gs,African,43,
m.018n9d_0001,m.018n9d,African,41,
m.018n9d_0002,m.018n9d,African,29,
m.018n9d_0003,m.018n9d,African,34,
m.018p19_0001,m.018p19,African,52,
m.018p19_0002,m.018p19,African,30,
m.018p19_0003,m.018p19,African,24,
m.01b_88_0001,m.01b_88,African,22,
m.01b_88_0002,m.01b_88,African,23,
m.01b_88_0003,m.01b_88,African,25,
m.01c471_0001,m.01c471,African,37,
m.01c471_0002,m.01c471,African,35,
m.01c471_0003,m.01c471,African,39,
m.01cqbg_0001,m.01cqbg,African,26,
m.01cqbg_0002,m.01cqbg,African,23,
m.01cqbg_0003,m.01cqbg,African,30,
m.01c_3f_0001,m.01c_3f,African,34,
m.01c_3f_0004,m.01c_3f,African,44,
m.01d401_0001,m.01d401,African,35,
m.01d401_0002,m.01d401,African,37,
m.01d401_0003,m.01d401,African,38,
m.01d401_0004,m.01d401,African,27,
m.01dhw_0001,m.01dhw,African,38,
m.01dhw_0002,m.01dhw,African,30,
m.01dhw_0003,m.01dhw,African,41,
m.01dqj6_0001,m.01dqj6,African,37,
m.01dqj6_0002,m.01dqj6,African,42,
m.01dqj6_0003,m.01dqj6,African,37,
m.01drbr_0001,m.01drbr,African,37,
m.01drbr_0002,m.01drbr,African,31,
m.01drbr_0003,m.01drbr,African,37,
m.01dysq_0001,m.01dysq,African,40,
m.01dysq_0002,m.01dysq,African,37,
m.01dysq_0003,m.01dysq,African,32,
m.01dysq_0004,m.01dysq,African,61,
m.01dz5n_0001,m.01dz5n,African,26,
m.01dz5n_0002,m.01dz5n,African,36,
m.01dz5n_0003,m.01dz5n,African,36,
m.01f97r_0001,m.01f97r,African,55,
m.01f97r_0002,m.01f97r,African,49,
m.01f97r_0004,m.01f97r,African,55,
m.01f97r_0005,m.01f97r,African,51,
m.01f97r_0006,m.01f97r,African,53,
m.01flf5_0001,m.01flf5,African,38,
m.01flf5_0002,m.01flf5,African,29,
m.01fmdk_0001,m.01fmdk,African,33,
m.01fmdk_0002,m.01fmdk,African,27,
m.01g6b_0001,m.01g6b,African,24,
m.01g6b_0002,m.01g6b,African,27,
m.01gk2f_0001,m.01gk2f,African,55,
m.01gk2f_0002,m.01gk2f,African,30,
m.01gk2f_0003,m.01gk2f,African,54,
m.01gq_9_0001,m.01gq_9,African,45,
m.01gq_9_0002,m.01gq_9,African,52,
m.01hw2qh_0001,m.01hw2qh,African,30,
m.01hw2qh_0002,m.01hw2qh,African,36,
m.01hw2qh_0003,m.01hw2qh,African,41,
m.01hw2qh_0004,m.01hw2qh,African,45,
m.01j4p1_0001,m.01j4p1,African,38,
m.01j4p1_0002,m.01j4p1,African,36,
m.01j4p1_0003,m.01j4p1,African,37,
m.01j4p1_0004,m.01j4p1,African,38,
m.01jjx5_0001,m.01jjx5,African,49,
m.01jjx5_0002,m.01jjx5,African,38,
m.01jjx5_0003,m.01jjx5,African,31,
m.01jpwfr_0001,m.01jpwfr,African,48,
m.01jpwfr_0002,m.01jpwfr,African,50,
m.01jq08__0002,m.01jq08_,African,38,
m.01jr5w_0003,m.01jr5w,African,25,
m.01jsgxb_0001,m.01jsgxb,African,47,
m.01jsgxb_0002,m.01jsgxb,African,40,
m.01jsgxb_0003,m.01jsgxb,African,37,
m.01jxtkn_0001,m.01jxtkn,African,30,
m.01jxtkn_0002,m.01jxtkn,African,43,
m.01k1bkq_0001,m.01k1bkq,African,33,
m.01k1bkq_0002,m.01k1bkq,African,33,
m.01k1bkq_0003,m.01k1bkq,African,37,
m.01k358_0001,m.01k358,African,45,
m.01k358_0002,m.01k358,African,20,
m.01k4rx7_0001,m.01k4rx7,African,30,
m.01k4rx7_0002,m.01k4rx7,African,37,
m.01k4rx7_0003,m.01k4rx7,African,26,
m.01k4rx7_0004,m.01k4rx7,African,25,
m.01k5tvx_0001,m.01k5tvx,African,41,
m.01k5tvx_0002,m.01k5tvx,African,48,
m.01k5tvx_0003,m.01k5tvx,African,42,
m.01k5vjs_0001,m.01k5vjs,African,44,
m.01k5vjs_0002,m.01k5vjs,African,49,
m.01k5vjs_0003,m.01k5vjs,African,50,
m.01k5vjs_0004,m.01k5vjs,African,44,
m.01k5wsd_0001,m.01k5wsd,African,39,
m.01k5wsd_0002,m.01k5wsd,African,44,
m.01k5wsd_0003,m.01k5wsd,African,62,
m.01kb1dx_0001,m.01kb1dx,African,35,
m.01kb1dx_0002,m.01kb1dx,African,33,
m.01kb1dx_0003,m.01kb1dx,African,31,
m.01kcgj_0001,m.01kcgj,African,49,
m.01kcgj_0002,m.01kcgj,African,35,
m.01kcgj_0003,m.01kcgj,African,45,
m.01kcx_w_0001,m.01kcx_w,African,34,
m.01kcx_w_0002,m.01kcx_w,African,47,
m.01kcx_w_0003,m.01kcx_w,African,43,
m.01kcx_w_0004,m.01kcx_w,African,36,
m.01kcys_0001,m.01kcys,African,56,
m.01kcys_0002,m.01kcys,African,39,
m.01kcys_0004,m.01kcys,African,35,
m.01kcys_0005,m.01kcys,African,45,
m.01kgz7q_0002,m.01kgz7q,African,39,
m.01kgz7q_0003,m.01kgz7q,African,37,
m.01kgz7q_0004,m.01kgz7q,African,30,
m.01kgz7q_0005,m.01kgz7q,African,28,
m.01kp9_8_0001,m.01kp9_8,African,37,
m.01kp9_8_0002,m.01kp9_8,African,24,
m.01kp9_8_0003,m.01kp9_8,African,39,
m.01kq4tc_0001,m.01kq4tc,African,25,
m.01kq4tc_0002,m.01kq4tc,African,41,
m.01ksvq4_0001,m.01ksvq4,African,51,
m.01ksvq4_0002,m.01ksvq4,African,50,
m.01ksvq4_0003,m.01ksvq4,African,45,
m.01ksvq4_0004,m.01ksvq4,African,49,
m.01ksvq4_0005,m.01ksvq4,African,46,
m.01ksvq4_0006,m.01ksvq4,African,63,
m.01kx43w_0001,m.01kx43w,African,31,
m.01kx43w_0002,m.01kx43w,African,38,
m.01kx43w_0003,m.01kx43w,African,40,
m.01kx43w_0004,m.01kx43w,African,50,
m.01ky6fb_0001,m.01ky6fb,African,29,
m.01ky6fb_0002,m.01ky6fb,African,35,
m.01ky6fb_0003,m.01ky6fb,African,35,
m.01ky6fb_0005,m.01ky6fb,African,41,
m.01ky6yy_0002,m.01ky6yy,African,34,
m.01ky6yy_0003,m.01ky6yy,African,31,
m.01ky6yy_0004,m.01ky6yy,African,40,
m.01kys2_0001,m.01kys2,African,20,
m.01kys2_0002,m.01kys2,African,28,
m.01kys2_0003,m.01kys2,African,26,
m.01l19b__0001,m.01l19b_,African,29,
m.01l19b__0002,m.01l19b_,African,37,
m.01l19b__0003,m.01l19b_,African,30,
m.01l19b__0004,m.01l19b_,African,29,
m.01l1v5n_0001,m.01l1v5n,African,30,
m.01l1v5n_0002,m.01l1v5n,African,33,
m.01l1v5n_0003,m.01l1v5n,African,35,
m.01l5rfm_0001,m.01l5rfm,African,37,
m.01l5rfm_0002,m.01l5rfm,African,42,
m.01l5rfm_0003,m.01l5rfm,African,28,
m.01l5rfm_0004,m.01l5rfm,African,24,
m.01l5rfm_0005,m.01l5rfm,African,35,
m.01l7mwv_0001,m.01l7mwv,African,36,
m.01l7mwv_0002,m.01l7mwv,African,35,
m.01l7mwv_0003,m.01l7mwv,African,33,
m.01ld7zl_0001,m.01ld7zl,African,36,
m.01ld7zl_0002,m.01ld7zl,African,38,
m.01ld7zl_0003,m.01ld7zl,African,45,
m.01lk16__0001,m.01lk16_,African,47,
m.01lk16__0002,m.01lk16_,African,39,
m.01lkv4c_0001,m.01lkv4c,African,35,
m.01lkv4c_0002,m.01lkv4c,African,33,
m.01lkv4c_0003,m.01lkv4c,African,39,
m.01llxc4_0001,m.01llxc4,African,35,
m.01llxc4_0002,m.01llxc4,African,21,
m.01lmtl_0001,m.01lmtl,African,27,
m.01lmtl_0002,m.01lmtl,African,28,
m.01lmtl_0003,m.01lmtl,African,24,
m.01lmtl_0004,m.01lmtl,African,32,
m.01lnq_p_0001,m.01lnq_p,African,41,
m.01lnq_p_0002,m.01lnq_p,African,42,
m.01lnq_p_0003,m.01lnq_p,African,34,
m.01lqkw__0001,m.01lqkw_,African,33,
m.01lqkw__0002,m.01lqkw_,African,41,
m.01lsdlr_0001,m.01lsdlr,African,45,
m.01lsdlr_0002,m.01lsdlr,African,38,
m.01lsdlr_0003,m.01lsdlr,African,36,
m.01lsq2k_0001,m.01lsq2k,African,35,
m.01lsq2k_0002,m.01lsq2k,African,40,
m.01lsq2k_0003,m.01lsq2k,African,34,
m.01lv4nd_0001,m.01lv4nd,African,40,
m.01lv4nd_0002,m.01lv4nd,African,44,
m.01lv4nd_0003,m.01lv4nd,African,50,
m.01lv4nd_0004,m.01lv4nd,African,41,
m.01lvcs1_0001,m.01lvcs1,African,25,
m.01lvcs1_0002,m.01lvcs1,African,38,
m.01lvcs1_0003,m.01lvcs1,African,48,
m.01lvcs1_0004,m.01lvcs1,African,37,
m.01l_04j_0001,m.01l_04j,African,42,
m.01m0w5f_0001,m.01m0w5f,African,31,
m.01m0w5f_0002,m.01m0w5f,African,31,
m.01m0w5f_0003,m.01m0w5f,African,37,
m.01m3hxr_0001,m.01m3hxr,African,33,
m.01m3hxr_0002,m.01m3hxr,African,29,
m.01m3hxr_0003,m.01m3hxr,African,40,
m.01m3hxr_0004,m.01m3hxr,African,39,
m.01m3hxr_0005,m.01m3hxr,African,28,
m.01m40k5_0001,m.01m40k5,African,32,
m.01m40k5_0002,m.01m40k5,African,29,
m.01m4fhv_0001,m.01m4fhv,African,40,
m.01m4fhv_0002,m.01m4fhv,African,58,
m.01m4fhv_0003,m.01m4fhv,African,41,
m.01m89jz_0001,m.01m89jz,African,28,
m.01m89jz_0002,m.01m89jz,African,24,
m.01m89jz_0003,m.01m89jz,African,22,
m.01m89jz_0004,m.01m89jz,African,24,
m.01mddpy_0001,m.01mddpy,African,29,
m.01mddpy_0002,m.01mddpy,African,31,
m.01mddpy_0003,m.01mddpy,African,30,
m.01mddpy_0004,m.01mddpy,African,38,
m.01mfmqw_0001,m.01mfmqw,African,56,
m.01mfmqw_0002,m.01mfmqw,African,47,
m.01mfmqw_0003,m.01mfmqw,African,54,
m.01mfmqw_0004,m.01mfmqw,African,44,
m.01mjyj0_0001,m.01mjyj0,African,23,
m.01mjyj0_0002,m.01mjyj0,African,33,
