files_list,image_name,enrolled,identity_name,ethnicity,Age,Identity,UnifiedQualityScore.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,children_agegroup
African_0/African_0_0.png,African_0_0,enrolled,African_0,African,7,African_0,34.0,100.0,93.0,100.0,7-9
African_1/African_1_11.png,African_1_11,enrolled,African_1,African,5,African_1,65.0,100.0,99.0,100.0,4-6
African_1/African_1_4.png,African_1_4,enrolled,African_1,African,2,African_1,23.0,95.0,99.0,100.0,1-3
African_10/African_10_1.png,African_10_1,enrolled,African_10,African,5,African_10,50.0,100.0,97.0,100.0,4-6
African_10/African_10_3.png,African_10_3,enrolled,African_10,African,6,African_10,25.0,90.0,100.0,100.0,4-6
African_10/African_10_4.png,African_10_4,enrolled,African_10,African,6,African_10,71.0,100.0,100.0,100.0,4-6
African_10/African_10_7.png,African_10_7,enrolled,African_10,African,7,African_10,51.0,100.0,99.0,100.0,7-9
African_100/African_100_3.png,African_100_3,enrolled,African_100,African,9,African_100,31.0,100.0,98.0,100.0,7-9
African_109/African_109_0.png,African_109_0,enrolled,African_109,African,7,African_109,19.0,98.0,88.0,100.0,7-9
African_109/African_109_11.png,African_109_11,enrolled,African_109,African,4,African_109,34.0,100.0,91.0,100.0,4-6
African_109/African_109_3.png,African_109_3,enrolled,African_109,African,13,African_109,10.0,100.0,78.0,100.0,13-15
African_109/African_109_4.png,African_109_4,enrolled,African_109,African,9,African_109,10.0,100.0,77.0,100.0,7-9
African_109/African_109_7.png,African_109_7,enrolled,African_109,African,6,African_109,36.0,99.0,97.0,100.0,4-6
African_109/African_109_8.png,African_109_8,enrolled,African_109,African,5,African_109,26.0,100.0,91.0,100.0,4-6
African_112/African_112_0.png,African_112_0,enrolled,African_112,African,6,African_112,85.0,99.0,95.0,100.0,4-6
African_112/African_112_1.png,African_112_1,enrolled,African_112,African,6,African_112,85.0,100.0,99.0,100.0,4-6
African_113/African_113_0.png,African_113_0,enrolled,African_113,African,15,African_113,11.0,98.0,68.0,100.0,13-15
African_113/African_113_11.png,African_113_11,enrolled,African_113,African,12,African_113,36.0,89.0,98.0,100.0,10-12
African_113/African_113_12.png,African_113_12,enrolled,African_113,African,11,African_113,26.0,78.0,78.0,98.0,10-12
