,files_list,image_name,enrolled,identity_name,ethnicity,Age,Identity,UnifiedQualityScore.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,children_agegroup
0,African_0/African_0_0.png,African_0_0,enrolled,African_0,African,7,African_0,34.0,100.0,93.0,100.0,7-9
1,African_1/African_1_11.png,African_1_11,enrolled,African_1,African,5,African_1,65.0,100.0,99.0,100.0,4-6
3,African_10/African_10_1.png,African_10_1,enrolled,African_10,African,5,African_10,50.0,100.0,97.0,100.0,4-6
5,African_10/African_10_4.png,African_10_4,enrolled,African_10,African,6,African_10,71.0,100.0,100.0,100.0,4-6
6,African_10/African_10_7.png,African_10_7,enrolled,African_10,African,7,African_10,51.0,100.0,99.0,100.0,7-9
7,African_100/African_100_3.png,African_100_3,enrolled,African_100,African,9,African_100,31.0,100.0,98.0,100.0,7-9
9,African_109/African_109_11.png,African_109_11,enrolled,African_109,African,4,African_109,34.0,100.0,91.0,100.0,4-6
12,African_109/African_109_7.png,African_109_7,enrolled,African_109,African,6,African_109,36.0,99.0,97.0,100.0,4-6
14,African_112/African_112_0.png,African_112_0,enrolled,African_112,African,6,African_112,85.0,99.0,95.0,100.0,4-6
15,African_112/African_112_1.png,African_112_1,enrolled,African_112,African,6,African_112,85.0,100.0,99.0,100.0,4-6
17,African_113/African_113_11.png,African_113_11,enrolled,African_113,African,12,African_113,36.0,89.0,98.0,100.0,10-12
19,African_113/African_113_22.png,African_113_22,enrolled,African_113,African,9,African_113,45.0,96.0,99.0,100.0,7-9
20,African_113/African_113_3.png,African_113_3,enrolled,African_113,African,8,African_113,30.0,94.0,80.0,100.0,7-9
24,African_113/African_113_46.png,African_113_46,enrolled,African_113,African,8,African_113,38.0,97.0,87.0,100.0,7-9
29,African_114/African_114_5.png,African_114_5,enrolled,African_114,African,2,African_114,31.0,97.0,100.0,100.0,1-3
30,African_115/African_115_1.png,African_115_1,enrolled,African_115,African,5,African_115,42.0,100.0,100.0,100.0,4-6
35,African_119/African_119_2.png,African_119_2,enrolled,African_119,African,11,African_119,47.0,98.0,98.0,100.0,10-12
36,African_119/African_119_3.png,African_119_3,enrolled,African_119,African,10,African_119,39.0,83.0,95.0,100.0,10-12
37,African_119/African_119_4.png,African_119_4,enrolled,African_119,African,10,African_119,67.0,93.0,94.0,100.0,10-12
38,African_119/African_119_9.png,African_119_9,enrolled,African_119,African,9,African_119,54.0,100.0,98.0,100.0,7-9
39,African_12/African_12_13.png,African_12_13,enrolled,African_12,African,5,African_12,38.0,96.0,95.0,100.0,4-6
40,African_12/African_12_16.png,African_12_16,enrolled,African_12,African,5,African_12,51.0,93.0,96.0,100.0,4-6
41,African_12/African_12_4.png,African_12_4,enrolled,African_12,African,5,African_12,50.0,99.0,99.0,100.0,4-6
42,African_12/African_12_6.png,African_12_6,enrolled,African_12,African,6,African_12,40.0,99.0,89.0,100.0,4-6
43,African_12/African_12_8.png,African_12_8,enrolled,African_12,African,6,African_12,33.0,80.0,93.0,99.0,4-6
44,African_12/African_12_9.png,African_12_9,enrolled,African_12,African,7,African_12,54.0,99.0,94.0,100.0,7-9
45,African_120/African_120_1.png,African_120_1,enrolled,African_120,African,7,African_120,34.0,99.0,98.0,100.0,7-9
49,African_126/African_126_0.png,African_126_0,enrolled,African_126,African,3,African_126,31.0,99.0,99.0,100.0,1-3
51,African_126/African_126_3.png,African_126_3,enrolled,African_126,African,4,African_126,46.0,99.0,100.0,100.0,4-6
53,African_126/African_126_8.png,African_126_8,enrolled,African_126,African,5,African_126,50.0,93.0,100.0,100.0,4-6
57,African_13/African_13_2.png,African_13_2,enrolled,African_13,African,11,African_13,43.0,95.0,84.0,99.0,10-12
58,African_13/African_13_3.png,African_13_3,enrolled,African_13,African,10,African_13,33.0,69.0,81.0,96.0,10-12
59,African_130/African_130_1.png,African_130_1,enrolled,African_130,African,10,African_130,38.0,100.0,86.0,100.0,10-12
61,African_131/African_131_0.png,African_131_0,enrolled,African_131,African,5,African_131,58.0,100.0,98.0,100.0,4-6
64,African_131/African_131_3.png,African_131_3,enrolled,African_131,African,6,African_131,67.0,100.0,99.0,100.0,4-6
65,African_131/African_131_4.png,African_131_4,enrolled,African_131,African,4,African_131,49.0,100.0,93.0,100.0,4-6
66,African_131/African_131_5.png,African_131_5,enrolled,African_131,African,4,African_131,59.0,100.0,98.0,100.0,4-6
67,African_132/African_132_0.png,African_132_0,enrolled,African_132,African,6,African_132,37.0,96.0,100.0,100.0,4-6
73,African_134/African_134_4.png,African_134_4,enrolled,African_134,African,6,African_134,29.0,100.0,89.0,100.0,4-6
79,African_138/African_138_0.png,African_138_0,enrolled,African_138,African,5,African_138,37.0,99.0,99.0,100.0,4-6
80,African_138/African_138_1.png,African_138_1,enrolled,African_138,African,8,African_138,36.0,99.0,98.0,100.0,7-9
81,African_142/African_142_10.png,African_142_10,enrolled,African_142,African,6,African_142,43.0,98.0,99.0,100.0,4-6
82,African_142/African_142_11.png,African_142_11,enrolled,African_142,African,7,African_142,40.0,85.0,100.0,100.0,7-9
84,African_142/African_142_7.png,African_142_7,enrolled,African_142,African,6,African_142,30.0,100.0,100.0,100.0,4-6
85,African_142/African_142_8.png,African_142_8,enrolled,African_142,African,4,African_142,31.0,100.0,92.0,100.0,4-6
86,African_145/African_145_1.png,African_145_1,enrolled,African_145,African,8,African_145,49.0,100.0,100.0,100.0,7-9
88,African_145/African_145_13.png,African_145_13,enrolled,African_145,African,9,African_145,31.0,68.0,99.0,100.0,7-9
89,African_145/African_145_23.png,African_145_23,enrolled,African_145,African,8,African_145,43.0,100.0,100.0,100.0,7-9
91,African_145/African_145_9.png,African_145_9,enrolled,African_145,African,9,African_145,36.0,79.0,97.0,100.0,7-9
92,African_146/African_146_2.png,African_146_2,enrolled,African_146,African,8,African_146,45.0,92.0,99.0,100.0,7-9
93,African_146/African_146_3.png,African_146_3,enrolled,African_146,African,7,African_146,39.0,95.0,100.0,100.0,7-9
94,African_146/African_146_4.png,African_146_4,enrolled,African_146,African,8,African_146,46.0,99.0,94.0,100.0,7-9
95,African_146/African_146_5.png,African_146_5,enrolled,African_146,African,9,African_146,74.0,98.0,100.0,100.0,7-9
96,African_146/African_146_8.png,African_146_8,enrolled,African_146,African,14,African_146,31.0,87.0,82.0,99.0,13-15
97,African_147/African_147_0.png,African_147_0,enrolled,African_147,African,6,African_147,39.0,92.0,99.0,100.0,4-6
98,African_147/African_147_5.png,African_147_5,enrolled,African_147,African,7,African_147,31.0,91.0,98.0,100.0,7-9
