,image_name,Age,ethnicity,children_agegroup,identity_name
0,Caucasian_1008_18,8,Caucasian,7-9,Caucasian_1008
1,Asian_225_72,11,Asian,10-12,Asian_225
2,Asian_238_1,3,Asian,0-3,Asian_238
3,Caucasian_1110_17,4,Caucasian,4-6,Caucasian_1110
4,Caucasian_364_12,2,Caucasian,0-3,Caucasian_364
5,African_259_5,7,African,7-9,African_259
6,African_724_2,7,African,7-9,African_724
7,Caucasian_563_47,1,Caucasian,0-3,Caucasian_563
8,Asian_446_33,18,Asian,16-18,Asian_446
9,Asian_311_10,32,Asian,,Asian_311
10,Caucasian_247_85,5,Caucasian,4-6,Caucasian_247
11,Caucasian_146_55,2,Caucasian,0-3,Caucasian_146
12,Indian_529_8,19,Indian,,Indian_529
13,Caucasian_418_7,19,Caucasian,,Caucasian_418
14,African_402_2,8,African,7-9,African_402
15,Caucasian_1183_32,5,Caucasian,4-6,Caucasian_1183
16,Indian_153_1,5,Indian,4-6,Indian_153
17,African_196_2,21,African,,African_196
18,Asian_551_12,8,Asian,7-9,Asian_551
19,Caucasian_108_8,0,Caucasian,0-3,Caucasian_108
20,Caucasian_143_86,9,Caucasian,7-9,Caucasian_143
21,Indian_641_1,3,Indian,0-3,Indian_641
22,African_634_22,15,African,13-15,African_634
23,Indian_385_56,17,Indian,16-18,Indian_385
24,Caucasian_303_14,5,Caucasian,4-6,Caucasian_303
25,Caucasian_1066_36,6,Caucasian,4-6,Caucasian_1066
26,Asian_601_33,2,Asian,0-3,Asian_601
27,Asian_468_5,0,Asian,0-3,Asian_468
28,Asian_325_15,8,Asian,7-9,Asian_325
29,Caucasian_1278_1,12,Caucasian,10-12,Caucasian_1278
30,Asian_304_20,7,Asian,7-9,Asian_304
31,Asian_574_14,3,Asian,0-3,Asian_574
32,African_236_1,8,African,7-9,African_236
33,African_560_0,18,African,16-18,African_560
34,Caucasian_1288_9,6,Caucasian,4-6,Caucasian_1288
35,African_625_0,4,African,4-6,African_625
36,African_481_96,31,African,,African_481
37,Caucasian_1144_4,3,Caucasian,0-3,Caucasian_1144
38,Indian_111_2,11,Indian,10-12,Indian_111
39,African_3_32,19,African,,African_3
40,Caucasian_1403_9,5,Caucasian,4-6,Caucasian_1403
41,African_689_7,6,African,4-6,African_689
42,Caucasian_143_2,3,Caucasian,0-3,Caucasian_143
43,Asian_451_26,24,Asian,,Asian_451
44,Caucasian_602_12,2,Caucasian,0-3,Caucasian_602
45,African_262_0,7,African,7-9,African_262
46,African_303_37,3,African,0-3,African_303
47,Asian_293_8,5,Asian,4-6,Asian_293
48,Asian_18_44,7,Asian,7-9,Asian_18
49,Asian_540_10,9,Asian,7-9,Asian_540
50,African_155_0,28,African,,African_155
51,Asian_447_40,4,Asian,4-6,Asian_447
52,Asian_275_7,12,Asian,10-12,Asian_275
53,Caucasian_1042_10,1,Caucasian,0-3,Caucasian_1042
54,Asian_316_57,2,Asian,0-3,Asian_316
55,Indian_592_0,2,Indian,0-3,Indian_592
56,Caucasian_217_41,6,Caucasian,4-6,Caucasian_217
57,Asian_553_7,1,Asian,0-3,Asian_553
58,Caucasian_326_34,1,Caucasian,0-3,Caucasian_326
59,Caucasian_530_40,17,Caucasian,16-18,Caucasian_530
60,Caucasian_346_12,14,Caucasian,13-15,Caucasian_346
61,African_21_0,18,African,16-18,African_21
62,African_699_1,13,African,13-15,African_699
63,Caucasian_406_10,2,Caucasian,0-3,Caucasian_406
64,Caucasian_1276_4,0,Caucasian,0-3,Caucasian_1276
65,Asian_624_4,0,Asian,0-3,Asian_624
66,Asian_65_4,18,Asian,16-18,Asian_65
67,Caucasian_604_4,1,Caucasian,0-3,Caucasian_604
68,Asian_589_8,22,Asian,,Asian_589
69,Caucasian_1368_28,3,Caucasian,0-3,Caucasian_1368
70,African_512_8,16,African,16-18,African_512
71,African_187_3,30,African,,African_187
72,Caucasian_144_58,3,Caucasian,0-3,Caucasian_144
73,African_29_2,21,African,,African_29
