files_list,image_name,identity_name,enrolled,ethnicity,Age,Identity,UnifiedQualityScore.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar
African_m.010lz5/m.010lz5_0001.jpg,m.010lz5_0001,m.010lz5,enrolled,African,38,m.010lz5,35.0,100.0,100.0,100.0
African_m.010lz5/m.010lz5_0002.jpg,m.010lz5_0002,m.010lz5,enrolled,African,29,m.010lz5,40.0,76.0,81.0,97.0
African_m.010lz5/m.010lz5_0003.jpg,m.010lz5_0003,m.010lz5,enrolled,African,37,m.010lz5,34.0,99.0,76.0,100.0
African_m.011y5k/m.011y5k_0001.jpg,m.011y5k_0001,m.011y5k,enrolled,African,40,m.011y5k,5.0,90.0,100.0,100.0
African_m.011y5k/m.011y5k_0002.jpg,m.011y5k_0002,m.011y5k,enrolled,African,43,m.011y5k,51.0,100.0,100.0,100.0
African_m.011y5k/m.011y5k_0003.jpg,m.011y5k_0003,m.011y5k,enrolled,African,40,m.011y5k,9.0,97.0,100.0,100.0
African_m.011y5k/m.011y5k_0004.jpg,m.011y5k_0004,m.011y5k,enrolled,African,45,m.011y5k,37.0,93.0,98.0,99.0
African_m.01257s/m.01257s_0001.jpg,m.01257s_0001,m.01257s,enrolled,African,30,m.01257s,63.0,83.0,80.0,97.0
African_m.01257s/m.01257s_0002.jpg,m.01257s_0002,m.01257s,enrolled,African,36,m.01257s,28.0,61.0,98.0,98.0
African_m.01257s/m.01257s_0003.jpg,m.01257s_0003,m.01257s,enrolled,African,30,m.01257s,8.0,34.0,100.0,99.0
African_m.0126y2/m.0126y2_0001.jpg,m.0126y2_0001,m.0126y2,enrolled,African,31,m.0126y2,72.0,74.0,94.0,98.0
African_m.0126y2/m.0126y2_0002.jpg,m.0126y2_0002,m.0126y2,enrolled,African,38,m.0126y2,58.0,100.0,99.0,100.0
African_m.0126y2/m.0126y2_0003.jpg,m.0126y2_0003,m.0126y2,enrolled,African,35,m.0126y2,37.0,68.0,83.0,93.0
African_m.0126y2/m.0126y2_0004.jpg,m.0126y2_0004,m.0126y2,enrolled,African,32,m.0126y2,20.0,94.0,100.0,100.0
African_m.012f1d/m.012f1d_0001.jpg,m.012f1d_0001,m.012f1d,enrolled,African,52,m.012f1d,60.0,100.0,100.0,100.0
African_m.012f1d/m.012f1d_0002.jpg,m.012f1d_0002,m.012f1d,enrolled,African,49,m.012f1d,7.0,38.0,98.0,98.0
African_m.012f1d/m.012f1d_0003.jpg,m.012f1d_0003,m.012f1d,enrolled,African,34,m.012f1d,55.0,97.0,98.0,100.0
African_m.012gl8/m.012gl8_0001.jpg,m.012gl8_0001,m.012gl8,enrolled,African,67,m.012gl8,89.0,100.0,100.0,100.0
African_m.012gl8/m.012gl8_0002.jpg,m.012gl8_0002,m.012gl8,enrolled,African,39,m.012gl8,31.0,87.0,97.0,99.0
African_m.012gl8/m.012gl8_0003.jpg,m.012gl8_0003,m.012gl8,enrolled,African,66,m.012gl8,71.0,100.0,100.0,100.0
African_m.012gr9/m.012gr9_0001.jpg,m.012gr9_0001,m.012gr9,enrolled,African,24,m.012gr9,8.0,100.0,82.0,100.0
African_m.012gr9/m.012gr9_0002.jpg,m.012gr9_0002,m.012gr9,enrolled,African,37,m.012gr9,55.0,88.0,96.0,100.0
African_m.012mh_/m.012mh__0002.jpg,m.012mh__0002,m.012mh_,enrolled,African,23,m.012mh_,66.0,99.0,100.0,100.0
African_m.012mh_/m.012mh__0003.jpg,m.012mh__0003,m.012mh_,enrolled,African,20,m.012mh_,14.0,75.0,97.0,99.0
African_m.012mh_/m.012mh__0004.jpg,m.012mh__0004,m.012mh_,enrolled,African,24,m.012mh_,51.0,97.0,85.0,100.0
African_m.012mh_/m.012mh__0006.jpg,m.012mh__0006,m.012mh_,enrolled,African,31,m.012mh_,18.0,91.0,100.0,100.0
African_m.012mk7/m.012mk7_0001.jpg,m.012mk7_0001,m.012mk7,enrolled,African,33,m.012mk7,23.0,100.0,99.0,100.0
African_m.012mk7/m.012mk7_0002.jpg,m.012mk7_0002,m.012mk7,enrolled,African,35,m.012mk7,61.0,100.0,99.0,100.0
African_m.012mk7/m.012mk7_0003.jpg,m.012mk7_0003,m.012mk7,enrolled,African,30,m.012mk7,44.0,77.0,94.0,99.0
African_m.012mmb/m.012mmb_0001.jpg,m.012mmb_0001,m.012mmb,enrolled,African,31,m.012mmb,44.0,93.0,95.0,100.0
African_m.012mmb/m.012mmb_0002.jpg,m.012mmb_0002,m.012mmb,enrolled,African,30,m.012mmb,21.0,100.0,98.0,100.0
African_m.012mmb/m.012mmb_0003.jpg,m.012mmb_0003,m.012mmb,enrolled,African,30,m.012mmb,15.0,75.0,99.0,100.0
African_m.012qsp/m.012qsp_0001.jpg,m.012qsp_0001,m.012qsp,enrolled,African,25,m.012qsp,48.0,99.0,97.0,100.0
African_m.012qsp/m.012qsp_0002.jpg,m.012qsp_0002,m.012qsp,enrolled,African,35,m.012qsp,22.0,71.0,99.0,100.0
African_m.012qsp/m.012qsp_0003.jpg,m.012qsp_0003,m.012qsp,enrolled,African,31,m.012qsp,68.0,99.0,100.0,100.0
African_m.012qsp/m.012qsp_0004.jpg,m.012qsp_0004,m.012qsp,enrolled,African,30,m.012qsp,64.0,100.0,100.0,100.0
African_m.012tmz/m.012tmz_0001.jpg,m.012tmz_0001,m.012tmz,enrolled,African,56,m.012tmz,57.0,95.0,100.0,100.0
African_m.012tmz/m.012tmz_0002.jpg,m.012tmz_0002,m.012tmz,enrolled,African,52,m.012tmz,45.0,99.0,98.0,100.0
African_m.012tmz/m.012tmz_0003.jpg,m.012tmz_0003,m.012tmz,enrolled,African,22,m.012tmz,43.0,99.0,98.0,100.0
African_m.012tmz/m.012tmz_0004.jpg,m.012tmz_0004,m.012tmz,enrolled,African,60,m.012tmz,90.0,98.0,99.0,100.0
African_m.012vd6/m.012vd6_0001.jpg,m.012vd6_0001,m.012vd6,enrolled,African,36,m.012vd6,7.0,77.0,67.0,82.0
African_m.012vd6/m.012vd6_0002.jpg,m.012vd6_0002,m.012vd6,enrolled,African,46,m.012vd6,69.0,100.0,100.0,100.0
African_m.012vd6/m.012vd6_0003.jpg,m.012vd6_0003,m.012vd6,enrolled,African,55,m.012vd6,87.0,100.0,99.0,100.0
African_m.012vk4/m.012vk4_0001.jpg,m.012vk4_0001,m.012vk4,enrolled,African,19,m.012vk4,11.0,100.0,100.0,100.0
African_m.012vk4/m.012vk4_0002.jpg,m.012vk4_0002,m.012vk4,enrolled,African,48,m.012vk4,57.0,99.0,100.0,100.0
African_m.012vk4/m.012vk4_0003.jpg,m.012vk4_0003,m.012vk4,enrolled,African,44,m.012vk4,24.0,78.0,89.0,96.0
African_m.0139ps/m.0139ps_0001.jpg,m.0139ps_0001,m.0139ps,enrolled,African,33,m.0139ps,55.0,87.0,100.0,100.0
African_m.0139ps/m.0139ps_0002.jpg,m.0139ps_0002,m.0139ps,enrolled,African,46,m.0139ps,64.0,100.0,98.0,100.0
