files_list,image_name,enrolled,identity_name,ethnicity,Age,Identity,UnifiedQualityScore.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar
African_0/African_0_0.png,African_0_0,enrolled,African_0,African, 7,African_0,34.0,100.0,93.0,100.0
African_0/African_0_1.png,African_0_1,enrolled,African_0,African, 18,African_0,34.0,93.0,100.0,100.0
African_1/African_1_11.png,African_1_11,enrolled,African_1,African, 5,African_1,65.0,100.0,99.0,100.0
African_1/African_1_4.png,African_1_4,enrolled,African_1,African, 2,African_1,23.0,95.0,99.0,100.0
African_10/African_10_1.png,African_10_1,enrolled,African_10,African, 5,African_10,50.0,100.0,97.0,100.0
African_10/African_10_3.png,African_10_3,enrolled,African_10,African, 6,African_10,25.0,90.0,100.0,100.0
African_10/African_10_4.png,African_10_4,enrolled,African_10,African, 6,African_10,71.0,100.0,100.0,100.0
African_10/African_10_7.png,African_10_7,enrolled,African_10,African, 7,African_10,51.0,100.0,99.0,100.0
African_100/African_100_1.png,African_100_1,enrolled,African_100,African, 22,African_100,23.0,97.0,90.0,99.0
African_100/African_100_3.png,African_100_3,enrolled,African_100,African, 9,African_100,31.0,100.0,98.0,100.0
African_101/African_101_0.png,African_101_0,enrolled,African_101,African, 17,African_101,67.0,100.0,96.0,100.0
African_101/African_101_1.png,African_101_1,enrolled,African_101,African, 20,African_101,47.0,100.0,96.0,100.0
African_102/African_102_0.png,African_102_0,enrolled,African_102,African, 20,African_102,72.0,100.0,99.0,100.0
African_102/African_102_1.png,African_102_1,enrolled,African_102,African, 23,African_102,24.0,100.0,99.0,100.0
African_103/African_103_0.png,African_103_0,enrolled,African_103,African, 20,African_103,45.0,100.0,96.0,100.0
African_103/African_103_2.png,African_103_2,enrolled,African_103,African, 21,African_103,38.0,99.0,95.0,100.0
African_104/African_104_0.png,African_104_0,enrolled,African_104,African, 25,African_104,68.0,100.0,98.0,100.0
African_104/African_104_1.png,African_104_1,enrolled,African_104,African, 26,African_104,66.0,100.0,99.0,100.0
African_104/African_104_2.png,African_104_2,enrolled,African_104,African, 24,African_104,79.0,100.0,100.0,100.0
African_106/African_106_0.png,African_106_0,enrolled,African_106,African, 37,African_106,18.0,100.0,100.0,99.0
African_106/African_106_2.png,African_106_2,enrolled,African_106,African, 22,African_106,59.0,100.0,95.0,100.0
African_107/African_107_0.png,African_107_0,enrolled,African_107,African, 28,African_107,17.0,100.0,98.0,100.0
African_107/African_107_1.png,African_107_1,enrolled,African_107,African, 20,African_107,69.0,100.0,99.0,100.0
African_107/African_107_2.png,African_107_2,enrolled,African_107,African, 23,African_107,48.0,100.0,98.0,100.0
African_108/African_108_22.png,African_108_22,enrolled,African_108,African, 0,African_108,53.0,94.0,94.0,98.0
African_108/African_108_9.png,African_108_9,enrolled,African_108,African, 0,African_108,29.0,100.0,99.0,100.0
African_109/African_109_0.png,African_109_0,enrolled,African_109,African, 7,African_109,19.0,98.0,88.0,100.0
African_109/African_109_11.png,African_109_11,enrolled,African_109,African, 4,African_109,34.0,100.0,91.0,100.0
African_109/African_109_3.png,African_109_3,enrolled,African_109,African, 13,African_109,10.0,100.0,78.0,100.0
African_109/African_109_4.png,African_109_4,enrolled,African_109,African, 9,African_109,10.0,100.0,77.0,100.0
African_109/African_109_7.png,African_109_7,enrolled,African_109,African, 6,African_109,36.0,99.0,97.0,100.0
African_109/African_109_8.png,African_109_8,enrolled,African_109,African, 5,African_109,26.0,100.0,91.0,100.0
African_11/African_11_2.png,African_11_2,enrolled,African_11,African, 27,African_11,29.0,94.0,96.0,99.0
African_11/African_11_36.png,African_11_36,enrolled,African_11,African, 20,African_11,56.0,96.0,97.0,100.0
African_11/African_11_5.png,African_11_5,enrolled,African_11,African, 23,African_11,6.0,96.0,100.0,100.0
African_11/African_11_69.png,African_11_69,enrolled,African_11,African, 30,African_11,45.0,95.0,100.0,100.0
African_112/African_112_0.png,African_112_0,enrolled,African_112,African, 6,African_112,85.0,99.0,95.0,100.0
African_112/African_112_1.png,African_112_1,enrolled,African_112,African, 6,African_112,85.0,100.0,99.0,100.0
African_113/African_113_0.png,African_113_0,enrolled,African_113,African, 15,African_113,11.0,98.0,68.0,100.0
African_113/African_113_11.png,African_113_11,enrolled,African_113,African, 12,African_113,36.0,89.0,98.0,100.0
African_113/African_113_12.png,African_113_12,enrolled,African_113,African, 11,African_113,26.0,78.0,78.0,98.0
African_113/African_113_22.png,African_113_22,enrolled,African_113,African, 9,African_113,45.0,96.0,99.0,100.0
African_113/African_113_23.png,African_113_23,enrolled,African_113,African, 16,African_113,34.0,94.0,93.0,100.0
African_113/African_113_3.png,African_113_3,enrolled,African_113,African, 8,African_113,30.0,94.0,80.0,100.0
African_113/African_113_33.png,African_113_33,enrolled,African_113,African, 9,African_113,10.0,94.0,87.0,100.0
African_113/African_113_4.png,African_113_4,enrolled,African_113,African, 9,African_113,26.0,94.0,94.0,100.0
African_113/African_113_40.png,African_113_40,enrolled,African_113,African, 9,African_113,23.0,88.0,100.0,100.0
African_113/African_113_45.png,African_113_45,enrolled,African_113,African, 16,African_113,8.0,76.0,59.0,99.0
African_113/African_113_46.png,African_113_46,enrolled,African_113,African, 8,African_113,38.0,97.0,87.0,100.0
African_113/African_113_49.png,African_113_49,enrolled,African_113,African, 7,African_113,18.0,100.0,97.0,100.0
African_114/African_114_0.png,African_114_0,enrolled,African_114,African, 3,African_114,19.0,98.0,100.0,100.0
African_114/African_114_1.png,African_114_1,enrolled,African_114,African, 2,African_114,8.0,94.0,100.0,100.0
African_114/African_114_2.png,African_114_2,enrolled,African_114,African, 6,African_114,13.0,90.0,99.0,100.0
African_114/African_114_5.png,African_114_5,enrolled,African_114,African, 2,African_114,31.0,97.0,100.0,100.0
African_115/African_115_1.png,African_115_1,enrolled,African_115,African, 5,African_115,42.0,100.0,100.0,100.0
African_115/African_115_3.png,African_115_3,enrolled,African_115,African, 7,African_115,24.0,97.0,92.0,100.0
African_116/African_116_2.png,African_116_2,enrolled,African_116,African, 2,African_116,17.0,99.0,94.0,100.0
African_116/African_116_3.png,African_116_3,enrolled,African_116,African, 3,African_116,19.0,99.0,95.0,100.0
African_119/African_119_14.png,African_119_14,enrolled,African_119,African, 15,African_119,15.0,100.0,96.0,100.0
African_119/African_119_2.png,African_119_2,enrolled,African_119,African, 11,African_119,47.0,98.0,98.0,100.0
African_119/African_119_3.png,African_119_3,enrolled,African_119,African, 10,African_119,39.0,83.0,95.0,100.0
African_119/African_119_4.png,African_119_4,enrolled,African_119,African, 10,African_119,67.0,93.0,94.0,100.0
African_119/African_119_9.png,African_119_9,enrolled,African_119,African, 9,African_119,54.0,100.0,98.0,100.0
African_12/African_12_13.png,African_12_13,enrolled,African_12,African, 5,African_12,38.0,96.0,95.0,100.0
African_12/African_12_16.png,African_12_16,enrolled,African_12,African, 5,African_12,51.0,93.0,96.0,100.0
African_12/African_12_4.png,African_12_4,enrolled,African_12,African, 5,African_12,50.0,99.0,99.0,100.0
African_12/African_12_6.png,African_12_6,enrolled,African_12,African, 6,African_12,40.0,99.0,89.0,100.0
African_12/African_12_8.png,African_12_8,enrolled,African_12,African, 6,African_12,33.0,80.0,93.0,99.0
African_12/African_12_9.png,African_12_9,enrolled,African_12,African, 7,African_12,54.0,99.0,94.0,100.0
African_120/African_120_0.png,African_120_0,enrolled,African_120,African, 18,African_120,10.0,100.0,100.0,98.0
African_120/African_120_1.png,African_120_1,enrolled,African_120,African, 7,African_120,34.0,99.0,98.0,100.0
African_120/African_120_2.png,African_120_2,enrolled,African_120,African, 18,African_120,26.0,62.0,87.0,97.0
African_121/African_121_0.png,African_121_0,enrolled,African_121,African, 5,African_121,13.0,99.0,81.0,100.0
African_121/African_121_1.png,African_121_1,enrolled,African_121,African, 6,African_121,11.0,100.0,94.0,100.0
African_121/African_121_2.png,African_121_2,enrolled,African_121,African, 13,African_121,8.0,84.0,100.0,100.0
African_126/African_126_0.png,African_126_0,enrolled,African_126,African, 3,African_126,31.0,99.0,99.0,100.0
African_126/African_126_2.png,African_126_2,enrolled,African_126,African, 3,African_126,28.0,94.0,99.0,100.0
African_126/African_126_3.png,African_126_3,enrolled,African_126,African, 4,African_126,46.0,99.0,100.0,100.0
African_126/African_126_5.png,African_126_5,enrolled,African_126,African, 4,African_126,10.0,100.0,100.0,99.0
African_126/African_126_8.png,African_126_8,enrolled,African_126,African, 5,African_126,50.0,93.0,100.0,100.0
African_127/African_127_1.png,African_127_1,enrolled,African_127,African, 9,African_127,22.0,100.0,98.0,100.0
African_127/African_127_10.png,African_127_10,enrolled,African_127,African, 18,African_127,17.0,99.0,99.0,100.0
African_127/African_127_18.png,African_127_18,enrolled,African_127,African, 17,African_127,27.0,94.0,89.0,100.0
African_127/African_127_6.png,African_127_6,enrolled,African_127,African, 15,African_127,21.0,100.0,80.0,100.0
African_13/African_13_0.png,African_13_0,enrolled,African_13,African, 8,African_13,28.0,86.0,79.0,99.0
African_13/African_13_2.png,African_13_2,enrolled,African_13,African, 11,African_13,43.0,95.0,84.0,99.0
African_13/African_13_3.png,African_13_3,enrolled,African_13,African, 10,African_13,33.0,69.0,81.0,96.0
African_130/African_130_1.png,African_130_1,enrolled,African_130,African, 10,African_130,38.0,100.0,86.0,100.0
African_130/African_130_2.png,African_130_2,enrolled,African_130,African, 8,African_130,27.0,100.0,100.0,100.0
African_131/African_131_0.png,African_131_0,enrolled,African_131,African, 5,African_131,58.0,100.0,98.0,100.0
African_131/African_131_1.png,African_131_1,enrolled,African_131,African, 14,African_131,19.0,95.0,96.0,100.0
African_131/African_131_2.png,African_131_2,enrolled,African_131,African, 11,African_131,7.0,97.0,99.0,100.0
