Iteration,FNIR_c,FNIR_a,FPIR_c,FPIR_a,FPD,FND,GARBE,Threshold
1,0.034958601655933765,0.007755695588948134,1.0,1.0,0.0,0.3184285803770906,0.23882143528281796,0.18
2,0.037138927097661624,0.002839564600094652,1.0,1.0,0.0,0.42897269307801283,0.3217295198085096,0.18
3,0.037488708220415536,0.010483135824977211,1.0,1.0,0.0,0.28147315297995057,0.21110486473496293,0.18
4,0.03856624319419238,0.006478482184173994,1.0,1.0,0.0,0.35617667485468973,0.2671325061410173,0.18
5,0.033486238532110094,0.003657978966620942,1.0,1.0,0.0,0.4015195577415001,0.3011396683061251,0.18
6,0.030095759233926128,0.010564997703261369,1.0,1.0,0.0,0.240167215293554,0.1801254114701655,0.18
7,0.030496131087847066,0.007841328413284132,1.0,1.0,0.0,0.295465622518551,0.22159921688891326,0.18
8,0.03156450137236962,0.0018492834026814608,1.0,1.0,0.0,0.44465507528909876,0.33349130646682407,0.18
9,0.02911275415896488,0.004215456674473068,1.0,1.0,0.0,0.373516862470045,0.28013764685253373,0.18
10,0.03044070876874148,0.0064754856614246065,1.0,1.0,0.0,0.3245895666826058,0.24344217501195436,0.18
