Iteration,FNIR_1_3,FNIR_4_6,FPIR_1_3,FPIR_4_6,Threshold,Iteration,FNIR_7_9,FNIR_10_12,FPIR_7_9,FPIR_10_12,Iteration,FNIR_13_15,FPIR_13_15
1,0.045406360424028264,0.023809523809523805,0.04224235803183172,0.011452682338758288,0.48,1,0.022031473533619454,0.02881743103145317,0.006963516575870815,0.007207942336461309,1,0.011940298507462687,0.0068247541931752455
2,0.032758620689655175,0.012244897959183673,0.051013898382319435,0.013258953836203412,0.48,2,0.03791130185979972,0.021313506815365552,0.009859979289541219,0.006619602441217547,2,0.020845624385447393,0.007518796992481203
3,0.03647586980920314,0.034013605442176874,0.037569652286054946,0.01193305845258307,0.48,3,0.031424375917767984,0.02183908045977011,0.005925217668448578,0.009501025290498975,3,0.012121212121212121,0.007554600787683495
4,0.02910958904109589,0.022222222222222223,0.03789566508864754,0.014051983892315057,0.48,4,0.02461322081575246,0.0014760147601476016,0.0095176591786214,0.009131355520584406,4,0.011940298507462687,0.006169269327164064
5,0.013002364066193855,0.01138211382113821,0.05059258315279725,0.012238388178237802,0.48,5,0.042152466367713005,0.030504305043050434,0.011370233493337864,0.008606788288550835,5,0.014427860696517412,0.007480239059186428
6,0.03654389479632198,0.014705882352941176,0.050428268473381256,0.009839413348185277,0.48,6,0.053857350800582245,0.021103117505995205,0.008823227659792756,0.008135091827930482,6,0.008585858585858586,0.009058360186179734
7,0.0273037542662116,0.01584022038567493,0.04579205021900546,0.010770597379524762,0.48,7,0.015723270440251572,0.017610062893081757,0.008678611422172453,0.006943284136266593,7,0.014880952380952378,0.008239348370927319
8,0.03540740740740741,0.03457814661134163,0.047619047619047616,0.01376081713718258,0.48,8,0.0462962962962963,0.028345498783454992,0.007046186895810956,0.007558578987150416,8,0.004065040650406504,0.008528265107212475
9,0.03449593884376493,0.03579234972677596,0.053177498200947915,0.011438853544116702,0.48,9,0.013418079096045199,0.01908342284282134,0.008848340363102879,0.007350465716530132,9,0.010351966873706004,0.007261744103849367
10,0.022184300341296925,0.028843537414965988,0.0451362049984775,0.009847198641765705,0.48,10,0.045614035087719294,0.021951219512195124,0.009369829803266335,0.00893827489076674,10,0.004424778761061947,0.008874645630469616
