,Iteration,FNIR_c,FNIR_a,FPIR_c,FPIR_a,FPD,FND,GARBE,Threshold
0,1,0.01327088212334114,0.05657773689052438,1.0,1.0,0.0,0.31000508942479216,0.23250381706859413,0.267
1,2,0.012461059190031152,0.04264099037138927,1.0,1.0,0.0,0.27385488762734267,0.205391165720507,0.267
2,3,0.01317829457364341,0.04742547425474255,0.9985915492957746,1.0,0.011620157718356713,0.2825499168053245,0.21481747703358253,0.267
3,4,0.01096319498825372,0.0499092558983666,1.0,1.0,0.0,0.3198989061788637,0.23992417963414775,0.267
4,5,0.008258258258258258,0.052752293577981654,0.9985029940119761,1.0,0.01226841868306724,0.36464213140663804,0.2765487032257454,0.267
5,6,0.01152073732718894,0.047879616963064295,1.0,1.0,0.0,0.30604934996020167,0.22953701247015124,0.267
6,7,0.01486697965571205,0.048247610377787895,0.9986149584487535,1.0,0.010972435616799317,0.26444464508410875,0.2010765927172814,0.267
7,8,0.011764705882352941,0.05489478499542543,0.9972413793103448,1.0,0.020691882381108695,0.32351041498466016,0.24780578183377228,0.267
8,9,0.010325655281969817,0.04436229205175601,1.0,1.0,0.0,0.31118956213589627,0.23339217160192222,0.267
9,10,0.006875477463712758,0.04906860517946388,0.9985528219971056,1.0,0.012934147228088555,0.3771008989893349,0.2860592110490233,0.267
