,Iteration,FNIR_c,FNIR_a,FPIR_c,FPIR_a,FPD,FND,GARBE,Threshold
0,11,0.04066877541798464,0.01098901098901099,1.0,1.0,0.0,0.2872729020474863,0.21545467653561473,0.195
1,12,0.05394190871369295,0.016846045858680395,1.0,1.0,0.0,0.26202101105411857,0.19651575829058893,0.195
2,13,0.045906294368196876,0.00994789199431549,1.0,1.0,0.0,0.32189531990045755,0.24142148992534318,0.195
3,14,0.05057471264367816,0.01579191825359963,1.0,1.0,0.0,0.262050324988738,0.19653774374155347,0.195
4,15,0.05229357798165138,0.014358499305233904,1.0,1.0,0.0,0.284575366744659,0.21343152505849425,0.195
5,16,0.05299223389675651,0.015755329008341055,1.0,1.0,0.0,0.27082345406061203,0.20311759054545903,0.195
6,17,0.04742547425474255,0.012016021361815754,1.0,1.0,0.0,0.2978512950056305,0.2233884712542229,0.195
7,18,0.06519742883379247,0.008591885441527447,1.0,1.0,0.0,0.38356192863549693,0.2876714464766227,0.195
8,19,0.053081421502474135,0.012606933813597478,1.0,1.0,0.0,0.3080796245706427,0.231059718427982,0.195
9,20,0.05631244323342416,0.005639097744360902,1.0,1.0,0.0,0.4089756662165514,0.30673174966241357,0.195
